N,serial_o0,serial_o3,openmp_2,openmp_4,openmp_8,openmp_16
100000,1.0,3.4287829124540266,1.8038409600942997,3.455348198140917,5.273196730234914,2.0663820142190206
1000000,1.0,3.3237642031098855,1.877809754266458,3.7265366180562642,7.311148416256829,6.582026490058652
5000000,1.0,3.0940384757141537,1.8550911232715652,3.5627023278606673,5.13715484596641,4.063263089051337
10000000,1.0,3.1527126367155147,1.8513108054571268,3.5979062580040018,5.112963595085673,4.381912557585424
50000000,1.0,3.2381916980077445,1.880188248588002,3.6533294819566526,5.236329063559949,4.7028683774337745
