densidad,densidad_real,tiempo_s,mceldas_s,velocidad,flujo,std_tiempo_s,trials
0.1,0.1001,31.142368200000003,321.16999999999996,1.0,0.1001,0.442380697921327,5
0.3,0.3001,38.5929532,259.13,1.0,0.3001,0.30169507896444075,5
0.5,0.5001,23.226035,430.59,0.975041,0.4876180041,0.21698379756285952,5
0.7,0.7001,39.67260279999999,252.086,0.428387,0.2999137387,0.38870389053180204,5
0.9,0.8999,29.451307800000002,339.558,0.11118900000000001,0.10005898110000001,0.18161372128162495,5
1.0,1.0,22.4676492,445.104,0.0,0.0,0.1443706042550214,5
