version,Ir,Dr,Dw,D_refs,D1mr,D1mw,D1_misses,DLmr,DLmw,DL_misses,D1_miss_rate_pct,DL_miss_rate_pct
Serial O0,198089633311,85384090567,20060032981,105444123548,313127347,312816985,625944332,312754012,312816959,625570971,0.5936265682127456,0.5932724839950224
Serial O3,59814075265,12699558482,5055020343,17754578825,313126551,312814990,625941541,312753215,312814964,625568179,3.5255217663548266,3.523418860937131
