N,hilos,tiempo_serial_s,tiempo_openmp_s,speedup,eficiencia
100000,2,0.2228126,0.1235212,1.8038409600942997,0.9019204800471499
1000000,2,2.3021388000000003,1.2259702,1.877809754266458,0.938904877133229
5000000,2,11.559579600000001,6.2312732,1.8550911232715652,0.9275455616357826
10000000,2,23.1752274,12.5182802,1.8513108054571268,0.9256554027285634
50000000,2,116.55109200000001,61.989054599999996,1.880188248588002,0.940094124294001
100000,4,0.2228126,0.0644834,3.455348198140917,0.8638370495352292
1000000,4,2.3021388000000003,0.617769,3.7265366180562642,0.9316341545140661
5000000,4,11.559579600000001,3.24461,3.5627023278606673,0.8906755819651668
10000000,4,23.1752274,6.4413094,3.5979062580040018,0.8994765645010004
50000000,4,116.55109200000001,31.9027048,3.6533294819566526,0.9133323704891632
100000,8,0.2228126,0.0422538,5.273196730234914,0.6591495912793642
1000000,8,2.3021388000000003,0.3148806,7.311148416256829,0.9138935520321037
5000000,8,11.559579600000001,2.250191,5.13715484596641,0.6421443557458012
10000000,8,23.1752274,4.5326408,5.112963595085673,0.6391204493857091
50000000,8,116.55109200000001,22.258167999999998,5.236329063559949,0.6545411329449936
100000,16,0.2228126,0.10782739999999999,2.0663820142190206,0.12914887588868879
1000000,16,2.3021388000000003,0.3497614,6.582026490058652,0.41137665562866577
5000000,16,11.559579600000001,2.8449006,4.063263089051337,0.25395394306570857
10000000,16,23.1752274,5.2888384,4.381912557585424,0.273869534849089
50000000,16,116.55109200000001,24.7829798,4.7028683774337745,0.2939292735896109
