N,tiempo_serial_s,tiempo_o3_s,speedup_o3
100000,0.2228126,0.064983,3.4287829124540266
1000000,2.3021388000000003,0.6926300000000001,3.3237642031098855
5000000,11.559579600000001,3.7360813999999998,3.0940384757141537
10000000,23.1752274,7.3508848,3.1527126367155147
50000000,116.55109200000001,35.992647399999996,3.2381916980077445
