version,speedup_promedio,speedup_min,speedup_max,casos
Serial O0,1.0,1.0,1.0,5
Serial O3,3.2474979852002646,3.0940384757141537,3.4287829124540266,5
OpenMP 2,1.8536481783354906,1.8038409600942997,1.880188248588002,5
OpenMP 4,3.5991645768037004,3.455348198140917,3.7265366180562642,5
OpenMP 8,5.614158530220754,5.112963595085673,7.311148416256829,5
OpenMP 16,4.359290505669642,2.0663820142190206,6.582026490058652,5
