version,funcion,porcentaje_tiempo,segundos_propios,segundos_acumulados,llamadas,ms_por_llamada,ms_total_por_llamada
Serial O0,update_road,99.58,122.14,122.14,1000,122.14,122.14
Serial O0,init_road,0.34,0.42,122.56,1,420.0,420.0
Serial O0,count_cars,0.07,0.09,122.65,2,45.0,45.0
Serial O0,wall_time,0.0,0.0,122.65,2,0.0,0.0
Serial O0,validate_params,0.0,0.0,122.65,1,0.0,0.0
