version,D_refs,D1_misses,DL_misses,D1_miss_rate_pct,DL_miss_rate_pct
Serial O0,105444123548,625944332,625570971,0.5936265682127456,0.5932724839950224
Serial O3,17754578825,625941541,625568179,3.5255217663548266,3.523418860937131
