N,serial_tiempo_s,o3_tiempo_s,openmp_2_tiempo_s,openmp_4_tiempo_s,openmp_8_tiempo_s,openmp_16_tiempo_s
100000,0.2228126,0.064983,0.1235212,0.0644834,0.0422538,0.10782739999999999
1000000,2.3021388000000003,0.6926300000000001,1.2259702,0.617769,0.3148806,0.3497614
5000000,11.559579600000001,3.7360813999999998,6.2312732,3.24461,2.250191,2.8449006
10000000,23.1752274,7.3508848,12.5182802,6.4413094,4.5326408,5.2888384
50000000,116.55109200000001,35.992647399999996,61.989054599999996,31.9027048,22.258167999999998,24.7829798
