N,hilos,tiempo_s,std_tiempo_s,trials
100000,16,0.10782739999999999,0.10435070271081072,5
1000000,16,0.3497614,0.02934749993168072,5
5000000,16,2.8449006,0.3267274870375003,5
10000000,16,5.2888384,0.08259248059381685,5
50000000,16,24.7829798,0.1247880664845806,5
