N trial threads wall_s user_s kernel_s cpu_total_s checksum seed
1000 1 4 0.594017 2.362862 0.000579 2.363441 -203584809775 123456789
1000 1 8 0.434744 3.380132 0.003007 3.383139 -203584809775 123456789
1000 1 16 0.368037 3.596636 0.004964 3.601600 -203584809775 123456789
2000 1 2 8.031477 16.059485 0.003953 16.063438 -1067493743601 123456789
2000 1 4 5.200091 20.705825 0.005289 20.711114 -1067493743601 123456789
2000 1 8 3.699276 29.291859 0.021668 29.313527 -1067493743601 123456789
2000 1 16 3.156948 31.083571 0.040349 31.123920 -1067493743601 123456789
4000 1 2 159.610609 318.985320 0.086821 319.072141 -4380136852933 123456789
4000 1 4 102.214618 408.536306 0.095337 408.631643 -4380136852933 123456789
4000 1 8 65.535639 522.260141 0.397326 522.657467 -4380136852933 123456789
4000 1 16 55.631872 547.869736 0.829236 548.698972 -4380136852933 123456789
5500 1 2 359.511891 718.400312 0.163199 718.563511 1977819930506 123456789
5500 1 4 238.029158 950.239882 0.222659 950.462541 1977819930506 123456789
5500 1 8 179.277694 1429.545166 1.312126 1430.857292 1977819930506 123456789
5500 1 16 164.535192 1614.250254 3.196083 1617.446337 1977819930506 123456789
6000 1 2 454.215257 907.874511 0.209054 908.083565 -6828338004005 123456789
6000 1 4 297.454232 1187.376132 0.367228 1187.743360 -6828338004005 123456789
6000 1 8 214.789445 1712.068062 1.513604 1713.581666 -6828338004005 123456789
6000 1 16 191.385024 1876.013695 3.642498 1879.656193 -6828338004005 123456789
8000 1 2 981.767218 1960.997373 0.494465 1961.491838 4274878840897 123456789
8000 1 4 641.364916 2557.556994 0.664216 2558.221210 4274878840897 123456789
8000 1 8 508.861157 4046.526604 3.881144 4050.407748 4274878840897 123456789
8000 1 16 453.861889 4450.082828 8.774128 4458.856956 4274878840897 123456789
400 1 2 0.055149 0.110251 0.000027 0.110278 828679322912 123456789
400 1 4 0.028612 0.114384 0.000027 0.114411 828679322912 123456789
400 1 8 0.019630 0.152535 0.000119 0.152654 828679322912 123456789
400 1 16 0.020848 0.167607 0.000222 0.167829 828679322912 123456789
600 1 2 0.185343 0.369995 0.000064 0.370059 146500783793 123456789
600 1 4 0.108304 0.428461 0.000336 0.428797 146500783793 123456789
600 1 8 0.076581 0.590641 0.000388 0.591029 146500783793 123456789
600 1 16 0.064852 0.607518 0.000602 0.608120 146500783793 123456789
800 1 2 0.439376 0.878500 0.000192 0.878692 558985527324 123456789
800 1 4 0.281703 1.124888 0.000217 1.125105 558985527324 123456789
800 1 8 0.204581 1.567910 0.001061 1.568971 558985527324 123456789
800 1 16 0.205076 1.775920 0.002789 1.778709 558985527324 123456789
1000 1 2 0.866221 1.732227 0.000186 1.732413 -203584809775 123456789
1000 1 4 0.570716 2.268777 0.001011 2.269788 -203584809775 123456789
1000 1 8 0.413784 3.249880 0.002723 3.252603 -203584809775 123456789
1000 1 16 0.359727 3.399367 0.004530 3.403897 -203584809775 123456789
2000 1 2 8.073572 16.141400 0.003884 16.145284 -1067493743601 123456789
2000 1 4 4.994060 19.928944 0.005360 19.934304 -1067493743601 123456789
2000 1 8 3.996380 28.188069 0.516167 28.704236 -1067493743601 123456789
2000 1 16 3.095024 30.202370 0.044469 30.246839 -1067493743601 123456789
4000 1 2 158.433996 316.654765 0.070215 316.724980 -4380136852933 123456789
4000 1 4 100.272044 400.396329 0.090162 400.486491 -4380136852933 123456789
4000 1 8 64.025966 509.870705 0.431667 510.302372 -4380136852933 123456789
4000 1 16 63.813957 626.745909 0.987242 627.733151 -4380136852933 123456789
5500 1 2 356.463637 711.957149 0.162328 712.119477 1977819930506 123456789
5500 1 4 237.395950 947.292193 0.224426 947.516619 1977819930506 123456789
5500 1 8 179.185000 1427.846189 1.284718 1429.130907 1977819930506 123456789
5500 1 16 161.638945 1583.716207 3.126872 1586.843079 1977819930506 123456789
6000 1 2 466.034871 928.162102 0.717581 928.879683 -6828338004005 123456789
6000 1 4 297.927959 1188.808072 0.289802 1189.097874 -6828338004005 123456789
6000 1 8 217.385930 1731.806193 1.614122 1733.420315 -6828338004005 123456789
6000 1 16 196.374875 1923.900640 3.808005 1927.708645 -6828338004005 123456789
8000 1 2 963.939267 1924.196698 0.532625 1924.729323 4274878840897 123456789
8000 1 4 633.173082 2523.687113 0.699314 2524.386427 4274878840897 123456789
8000 1 8 530.049083 4212.924986 4.162417 4217.087403 4274878840897 123456789
8000 1 16 490.720327 4807.166994 9.372059 4816.539053 4274878840897 123456789
400 1 2 0.059530 0.119027 0.000019 0.119046 828679322912 123456789
400 1 4 0.032585 0.130267 0.000037 0.130304 828679322912 123456789
400 1 8 0.024348 0.160049 0.000141 0.160190 828679322912 123456789
400 1 16 0.021883 0.176848 0.000219 0.177067 828679322912 123456789
600 1 2 0.207549 0.414152 0.000230 0.414382 146500783793 123456789
600 1 4 0.130957 0.506889 0.000381 0.507270 146500783793 123456789
600 1 8 0.086455 0.656814 0.000508 0.657322 146500783793 123456789
600 1 16 0.078893 0.683119 0.001047 0.684166 146500783793 123456789
800 1 2 0.487628 0.974925 0.000282 0.975207 558985527324 123456789
800 1 4 0.310046 1.238197 0.000239 1.238436 558985527324 123456789
800 1 8 0.225975 1.780090 0.001251 1.781341 558985527324 123456789
800 1 16 0.201375 1.874467 0.003627 1.878094 558985527324 123456789
1000 1 2 1.048200 2.095925 0.000379 2.096304 -203584809775 123456789
1000 1 4 0.647558 2.573487 0.000486 2.573973 -203584809775 123456789
1000 1 8 0.460637 3.616417 0.003231 3.619648 -203584809775 123456789
1000 1 16 0.389752 3.734120 0.005283 3.739403 -203584809775 123456789
2000 1 2 8.485845 16.967170 0.004160 16.971330 -1067493743601 123456789
2000 1 4 5.497923 21.853422 0.005636 21.859058 -1067493743601 123456789
2000 1 8 3.936989 31.027014 0.037240 31.064254 -1067493743601 123456789
2000 1 16 3.291081 32.422399 0.041625 32.464024 -1067493743601 123456789
4000 1 2 162.857740 325.633881 0.072780 325.706661 -4380136852933 123456789
4000 1 4 108.827434 434.844957 0.101460 434.946417 -4380136852933 123456789
4000 1 8 74.296972 589.537986 0.605489 590.143475 -4380136852933 123456789
4000 1 16 67.374010 661.226981 1.071470 662.298451 -4380136852933 123456789
5500 1 2 381.794928 762.467476 0.184101 762.651577 1977819930506 123456789
5500 1 4 260.301498 1039.096897 0.253893 1039.350790 1977819930506 123456789
5500 1 8 194.450440 1545.713137 1.428417 1547.141554 1977819930506 123456789
5500 1 16 180.411684 1768.694564 3.400185 1772.094749 1977819930506 123456789
6000 1 2 496.760070 992.332525 0.252621 992.585146 -6828338004005 123456789
6000 1 4 337.527007 1347.606125 0.348528 1347.954653 -6828338004005 123456789
6000 1 8 245.367018 1955.926142 1.786170 1957.712312 -6828338004005 123456789
6000 1 16 217.178730 2125.870778 4.213193 2130.083971 -6828338004005 123456789
8000 1 2 1078.071194 2153.135462 0.672332 2153.807794 4274878840897 123456789
8000 1 4 734.072636 2926.308152 0.862550 2927.170702 4274878840897 123456789
8000 1 8 584.121245 4639.967003 4.706712 4644.673715 4274878840897 123456789
8000 1 16 527.020091 5077.815983 11.773930 5089.589913 4274878840897 123456789
400 1 2 0.065137 0.130220 0.000042 0.130262 828679322912 123456789
400 1 4 0.033760 0.134942 0.000045 0.134987 828679322912 123456789
400 1 8 0.025024 0.172010 0.000194 0.172204 828679322912 123456789
400 1 16 0.021742 0.186480 0.000278 0.186758 828679322912 123456789
600 1 2 0.229898 0.456666 0.000321 0.456987 146500783793 123456789
600 1 4 0.128860 0.510751 0.000094 0.510845 146500783793 123456789
600 1 8 0.089398 0.685078 0.000623 0.685701 146500783793 123456789
600 1 16 0.081310 0.737295 0.001160 0.738455 146500783793 123456789
800 1 2 0.552019 1.103786 0.000220 1.104006 558985527324 123456789
800 1 4 0.327913 1.309788 0.000401 1.310189 558985527324 123456789
800 1 8 0.232503 1.820937 0.001272 1.822209 558985527324 123456789
800 1 16 0.207797 1.999137 0.002250 2.001387 558985527324 123456789
1000 1 2 1.042612 2.082275 0.000834 2.083109 -203584809775 123456789
1000 1 4 0.715257 2.837120 0.001345 2.838465 -203584809775 123456789
1000 1 8 0.511474 3.995080 0.003753 3.998833 -203584809775 123456789
1000 1 16 0.414565 4.017861 0.006670 4.024531 -203584809775 123456789
2000 1 2 8.867967 17.730199 0.005527 17.735726 -1067493743601 123456789
2000 1 4 5.917963 23.508436 0.007046 23.515482 -1067493743601 123456789
2000 1 8 4.072557 32.377980 0.029104 32.407084 -1067493743601 123456789
2000 1 16 3.482858 33.777883 0.046910 33.824793 -1067493743601 123456789
4000 1 2 167.971928 335.696012 0.075941 335.771953 -4380136852933 123456789
4000 1 4 110.742099 442.558614 0.103945 442.662559 -4380136852933 123456789
4000 1 8 71.086933 566.647338 0.447235 567.094573 -4380136852933 123456789
4000 1 16 65.545414 642.308026 1.018506 643.326532 -4380136852933 123456789
5500 1 2 390.430462 779.426006 0.186046 779.612052 1977819930506 123456789
5500 1 4 271.082845 1082.893048 0.270203 1083.163251 1977819930506 123456789
5500 1 8 204.314439 1629.261574 1.493017 1630.754591 1977819930506 123456789
5500 1 16 189.346666 1858.268813 3.595578 1861.864391 1977819930506 123456789
6000 1 2 507.658958 1014.572398 0.249786 1014.822184 -6828338004005 123456789
6000 1 4 349.047037 1392.248634 0.436429 1392.685063 -6828338004005 123456789
6000 1 8 245.738452 1959.145813 1.781134 1960.926947 -6828338004005 123456789
6000 1 16 217.971572 2129.085378 4.158123 2133.243501 -6828338004005 123456789
8000 1 2 1069.777138 2134.522229 0.887621 2135.409850 4274878840897 123456789
8000 1 4 707.735520 2825.018286 0.758729 2825.777015 4274878840897 123456789
8000 1 8 559.240792 4443.568087 4.269607 4447.837694 4274878840897 123456789
8000 1 16 519.475192 5066.118048 10.170206 5076.288254 4274878840897 123456789
400 1 2 0.072461 0.144883 0.000024 0.144907 828679322912 123456789
400 1 4 0.036224 0.144767 0.000038 0.144805 828679322912 123456789
400 1 8 0.026506 0.179198 0.000134 0.179332 828679322912 123456789
400 1 16 0.023533 0.196394 0.000250 0.196644 828679322912 123456789
600 1 2 0.242789 0.482732 0.000203 0.482935 146500783793 123456789
600 1 4 0.137383 0.544917 0.000106 0.545023 146500783793 123456789
600 1 8 0.096004 0.747160 0.000669 0.747829 146500783793 123456789
600 1 16 0.083835 0.733975 0.001164 0.735139 146500783793 123456789
800 1 2 0.578475 1.156749 0.000154 1.156903 558985527324 123456789
800 1 4 0.377101 1.502716 0.000711 1.503427 558985527324 123456789
800 1 8 0.246931 1.890397 0.004185 1.894582 558985527324 123456789
800 1 16 0.212223 2.011325 0.003080 2.014405 558985527324 123456789
1000 1 2 1.148403 2.296753 0.000295 2.297048 -203584809775 123456789
1000 1 4 0.736754 2.930659 0.000566 2.931225 -203584809775 123456789
1000 1 8 0.520947 4.083106 0.003502 4.086608 -203584809775 123456789
1000 1 16 0.441362 4.027318 0.007403 4.034721 -203584809775 123456789
2000 1 2 8.852838 17.702365 0.003682 17.706047 -1067493743601 123456789
2000 1 4 5.910360 23.545475 0.009271 23.554746 -1067493743601 123456789
2000 1 8 4.027548 31.980850 0.023853 32.004703 -1067493743601 123456789
2000 1 16 3.457070 33.715544 0.047175 33.762719 -1067493743601 123456789
4000 1 2 168.092447 336.028707 0.077141 336.105848 -4380136852933 123456789
4000 1 4 110.279695 440.639294 0.102366 440.741660 -4380136852933 123456789
4000 1 8 72.887743 580.626780 0.478269 581.105049 -4380136852933 123456789
4000 1 16 60.754831 588.512316 1.038337 589.550653 -4380136852933 123456789
5500 1 2 405.787460 811.308339 0.113298 811.421637 1977819930506 123456789
5500 1 4 288.275625 1151.430387 0.268212 1151.698599 1977819930506 123456789
5500 1 8 208.784406 1663.452908 1.703373 1665.156281 1977819930506 123456789
5500 1 16 177.860982 1739.851662 3.484797 1743.336459 1977819930506 123456789
6000 1 2 486.093100 971.080388 0.237547 971.317935 -6828338004005 123456789
6000 1 4 318.495681 1271.728464 0.325120 1272.053584 -6828338004005 123456789
6000 1 8 222.724175 1774.193513 1.627390 1775.820903 -6828338004005 123456789
6000 1 16 208.755763 2048.412723 3.896949 2052.309672 -6828338004005 123456789
8000 1 2 1033.429777 2062.862172 0.517576 2063.379748 4274878840897 123456789
8000 1 4 713.890931 2845.182774 0.767264 2845.950038 4274878840897 123456789
8000 1 8 545.034865 4329.163891 4.133716 4333.297607 4274878840897 123456789
8000 1 16 477.150762 4671.326061 9.131907 4680.457968 4274878840897 123456789
400 1 2 0.055070 0.110115 0.000016 0.110131 828679322912 123456789
400 1 4 0.028772 0.115026 0.000027 0.115053 828679322912 123456789
400 1 8 0.020057 0.154639 0.000099 0.154738 828679322912 123456789
400 1 16 0.020867 0.167814 0.000256 0.168070 828679322912 123456789
600 1 2 0.199394 0.398334 0.000181 0.398515 146500783793 123456789
600 1 4 0.116190 0.462179 0.000107 0.462286 146500783793 123456789
600 1 8 0.079240 0.602795 0.000378 0.603173 146500783793 123456789
600 1 16 0.072236 0.644476 0.000636 0.645112 146500783793 123456789
800 1 2 0.469163 0.938010 0.000254 0.938264 558985527324 123456789
800 1 4 0.288680 1.154404 0.000218 1.154622 558985527324 123456789
800 1 8 0.216011 1.651824 0.001410 1.653234 558985527324 123456789
800 1 16 0.195226 1.847612 0.002299 1.849911 558985527324 123456789
1000 1 2 0.914507 1.828655 0.000283 1.828938 -203584809775 123456789
1000 1 4 0.609452 2.422415 0.000396 2.422811 -203584809775 123456789
1000 1 8 0.450278 3.531645 0.003147 3.534792 -203584809775 123456789
1000 1 16 0.370550 3.621877 0.004892 3.626769 -203584809775 123456789
2000 1 2 8.296050 16.491913 0.003897 16.495810 -1067493743601 123456789
2000 1 4 5.249031 20.807939 0.005031 20.812970 -1067493743601 123456789
2000 1 8 3.756664 29.726736 0.022718 29.749454 -1067493743601 123456789
2000 1 16 3.230597 31.604399 0.041969 31.646368 -1067493743601 123456789
4000 1 2 162.852570 325.465847 0.078119 325.543966 -4380136852933 123456789
4000 1 4 107.363392 428.916332 0.104074 429.020406 -4380136852933 123456789
4000 1 8 69.405493 552.884030 0.436679 553.320709 -4380136852933 123456789
4000 1 16 58.711042 573.896948 0.935187 574.832135 -4380136852933 123456789
5500 1 2 377.177479 753.645985 0.173678 753.819663 1977819930506 123456789
5500 1 4 254.321081 1016.243462 0.247753 1016.491215 1977819930506 123456789
5500 1 8 195.555529 1557.455416 1.542306 1558.997722 1977819930506 123456789
5500 1 16 177.173695 1738.079541 3.363682 1741.443223 1977819930506 123456789
6000 1 2 482.117075 963.969142 0.253639 964.222781 -6828338004005 123456789
6000 1 4 319.725417 1275.604703 0.326434 1275.931137 -6828338004005 123456789
6000 1 8 238.116891 1872.960189 2.341111 1875.301300 -6828338004005 123456789
6000 1 16 208.055550 2035.887818 4.010272 2039.898090 -6828338004005 123456789
8000 1 2 1031.358740 2059.540346 0.575281 2060.115627 4274878840897 123456789
8000 1 4 676.086727 2699.528858 0.738241 2700.267099 4274878840897 123456789
8000 1 8 549.381753 4376.489139 4.173189 4380.662328 4274878840897 123456789
8000 1 16 493.710480 4837.116338 9.306395 4846.422733 4274878840897 123456789
400 1 2 0.055126 0.110227 0.000017 0.110244 828679322912 123456789
400 1 4 0.029431 0.117590 0.000029 0.117619 828679322912 123456789
400 1 8 0.024440 0.160115 0.000147 0.160262 828679322912 123456789
400 1 16 0.020807 0.167741 0.000212 0.167953 828679322912 123456789
600 1 2 0.200344 0.400596 0.000079 0.400675 146500783793 123456789
600 1 4 0.121278 0.478415 0.000308 0.478723 146500783793 123456789
600 1 8 0.084646 0.638829 0.000486 0.639315 146500783793 123456789
600 1 16 0.075163 0.687078 0.001790 0.688868 146500783793 123456789
800 1 2 0.486025 0.971842 0.000189 0.972031 558985527324 123456789
800 1 4 0.370644 1.384482 0.004676 1.389158 558985527324 123456789
800 1 8 0.236797 1.783936 0.001446 1.785382 558985527324 123456789
800 1 16 0.196662 1.878438 0.001925 1.880363 558985527324 123456789
1000 1 2 1.009033 2.015507 0.002507 2.018014 -203584809775 123456789
1000 1 4 0.645844 2.566613 0.000537 2.567150 -203584809775 123456789
1000 1 8 0.463594 3.641444 0.002954 3.644398 -203584809775 123456789
1000 1 16 0.430236 3.697775 0.004980 3.702755 -203584809775 123456789
2000 1 2 9.829701 19.627098 0.015396 19.642494 -1067493743601 123456789
2000 1 4 5.482945 21.872917 0.005155 21.878072 -1067493743601 123456789
2000 1 8 3.923499 31.036290 0.025627 31.061917 -1067493743601 123456789
2000 1 16 3.321729 32.576965 0.044472 32.621437 -1067493743601 123456789
4000 1 2 162.934476 325.735236 0.076084 325.811320 -4380136852933 123456789
4000 1 4 105.721236 422.338664 0.098949 422.437613 -4380136852933 123456789
4000 1 8 69.283361 552.427344 0.427652 552.854996 -4380136852933 123456789
4000 1 16 61.254016 602.171086 0.927743 603.098829 -4380136852933 123456789
5500 1 2 367.578093 734.572127 0.170224 734.742351 1977819930506 123456789
5500 1 4 245.432806 980.281791 0.234330 980.516121 1977819930506 123456789
5500 1 8 181.490310 1446.431802 1.302251 1447.734053 1977819930506 123456789
5500 1 16 167.702990 1646.594987 3.160837 1649.755824 1977819930506 123456789
6000 1 2 467.752949 934.454804 0.234069 934.688873 -6828338004005 123456789
6000 1 4 307.459155 1228.161153 0.304161 1228.465314 -6828338004005 123456789
6000 1 8 223.720136 1782.347898 1.593300 1783.941198 -6828338004005 123456789
6000 1 16 198.391425 1947.969772 3.669968 1951.639740 -6828338004005 123456789
8000 1 2 1006.896385 2005.515163 0.498657 2006.013820 4274878840897 123456789
8000 1 4 658.907506 2627.320062 0.683262 2628.003324 4274878840897 123456789
8000 1 8 528.666833 4199.054941 3.906600 4202.961541 4274878840897 123456789
8000 1 16 473.972366 4647.766442 9.043060 4656.809502 4274878840897 123456789
400 1 2 0.059621 0.119209 0.000018 0.119227 828679322912 123456789
400 1 4 0.032542 0.130088 0.000037 0.130125 828679322912 123456789
