Ronda,400,600,800,1000,2000,4000,5500,6000,8000
1,0.017122,0.052930,0.129086,0.254407,2.457466,61.049801,173.978903,207.104455,481.816819
2,0.021141,0.075052,0.195391,0.391689,3.332050,59.223705,164.114352,194.418621,471.374934
3,0.019735,0.075246,0.197106,0.368037,3.156948,55.631872,164.535192,191.385024,453.861889
4,0.020848,0.064852,0.205076,0.359727,3.095024,63.813957,161.638945,196.374875,490.720327
5,0.021883,0.078893,0.201375,0.389752,3.291081,67.374010,180.411684,217.178730,527.020091
6,0.021742,0.081310,0.207797,0.414565,3.482858,65.545414,189.346666,217.971572,519.475192
7,0.023533,0.083835,0.212223,0.441362,3.457070,60.754831,177.860982,208.755763,477.150762
8,0.020867,0.072236,0.195226,0.370550,3.230597,58.711042,177.173695,208.055550,493.710480
9,0.020807,0.075163,0.196662,0.430236,3.321729,61.254016,167.702990,198.391425,473.972366
10,0.021510,0.072404,0.191123,0.382398,3.208200,56.818574,169.371895,200.387781,482.848626
Promedio,0.020919,0.073192,0.193107,0.380272,3.203302,61.017722,172.613530,204.002380,487.195149
Speedup (vs secuencial),3.121599,3.009016,2.709089,2.786293,2.996835,4.095093,3.339364,3.476208,3.011286
