Ronda,400,600,800,1000,2000,4000,5500,6000,8000
1,0.063472,0.217577,0.523701,1.090090,9.879032,243.030673,573.268772,709.529830,1466.031131
2,0.065438,0.219912,0.523174,1.056669,9.506944,255.477387,572.471999,702.318133,1455.802823
3,0.065404,0.222762,0.522498,1.055754,9.553808,255.652890,567.164960,702.333754,1466.856831
4,0.065478,0.221397,0.523082,1.056177,9.586279,259.545424,566.064321,711.112911,1492.945491
5,0.065518,0.219920,0.523239,1.058299,9.579681,251.068849,573.098945,707.817645,1479.476633
6,0.065818,0.221789,0.523942,1.055991,9.642477,242.430488,588.727599,700.106161,1458.650251
7,0.065518,0.219712,0.523046,1.055821,9.628667,252.435847,593.195769,714.670459,1441.472711
8,0.065472,0.219724,0.522821,1.055453,9.473524,240.545155,587.913257,709.725028,1463.087809
9,0.065451,0.219758,0.523016,1.055543,9.632367,260.792586,566.826202,715.064342,1456.619219
10,0.065432,0.219811,0.522907,1.055703,9.514903,237.753275,575.462832,718.869725,1489.898727
Promedio,0.065300,0.220236,0.523143,1.059550,9.599768,249.873257,576.419466,709.154799,1467.084163
Speedup (vs secuencial),1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
