Ronda,400,600,800,1000,2000,4000,5500,6000,8000
1,0.020088,0.066082,0.164745,0.356769,2.199122,45.412209,153.538525,192.522034,496.610840
2,0.016049,0.063832,0.165519,0.370017,3.297872,56.712705,164.982313,204.615113,486.431122
3,0.016740,0.061872,0.159449,0.319400,3.073529,52.493980,155.582230,182.717252,480.130729
4,0.016423,0.064239,0.165631,0.359938,3.190963,52.545828,169.793974,193.662258,496.556770
5,0.017732,0.062101,0.163382,0.350161,3.301179,63.907232,166.852514,202.952838,497.494580
6,0.015662,0.063281,0.163311,0.353600,3.173438,63.792868,167.402246,202.230054,484.616047
7,0.016878,0.067564,0.173698,0.324632,3.125803,60.573624,154.041679,186.250430,457.338678
8,0.018324,0.063605,0.163143,0.314534,2.874548,49.199353,152.948534,183.943151,460.035501
9,0.016803,0.057792,0.164964,0.310021,3.105097,50.792978,156.605558,195.052767,481.406063
10,0.019140,0.060659,0.203655,0.344231,3.113666,55.200961,161.852702,194.650971,492.647938
Promedio,0.017384,0.063103,0.168750,0.340330,3.045522,55.063174,160.360028,193.859687,483.326827
Speedup (vs secuencial),3.756355,3.490123,3.100110,3.113299,3.152093,4.537938,3.594533,3.658083,3.035387
