Ronda,400,600,800,1000,2000,4000,5500,6000,8000
1,0.052767,0.182322,0.436738,0.866502,7.199942,54.717010,140.324236,182.377874,435.474159
2,0.054605,0.182826,0.438792,0.847570,6.765889,54.209710,140.140071,182.378610,435.274820
3,0.054634,0.183235,0.451946,0.848053,6.769781,54.195092,140.242414,182.369718,435.222101
4,0.054816,0.183178,0.436470,0.857765,6.766641,54.196381,140.359035,182.401099,435.351371
5,0.054792,0.183172,0.436569,0.848564,6.766903,54.167418,140.197885,182.316085,435.191136
6,0.054832,0.182927,0.436524,0.847971,6.767659,54.173822,140.194851,182.338993,435.159279
7,0.054775,0.183675,0.445691,0.847407,6.766656,54.164474,140.129489,182.328575,435.172777
8,0.054695,0.183784,0.436582,0.847969,6.767275,54.189353,140.215688,182.338754,435.123527
9,0.054887,0.183507,0.436168,0.858010,6.765843,54.168792,140.198722,182.327071,435.180655
10,0.054697,0.183298,0.436356,0.848227,6.765922,54.179342,140.195060,182.338797,435.245710
Promedio,0.054550,0.183192,0.439184,0.851804,6.810251,54.236139,140.219745,182.351558,435.239553
Speedup (vs secuencial base),1.197069,1.202213,1.191171,1.243890,1.409606,4.607136,4.110830,3.888943,3.370751
