Ronda,400,600,800,1000,2000,4000,5500,6000,8000
1,0.032379,0.083756,0.214974,0.411236,2.486384,49.602433,142.828896,191.024567,521.472366
2,0.015627,0.058689,0.183281,0.425172,3.741664,62.915115,168.905226,215.138494,481.881501
3,0.016444,0.057614,0.191886,0.362183,3.375896,57.615582,150.449407,183.945435,464.820638
4,0.016299,0.060565,0.194853,0.374393,3.456224,61.094260,164.943141,195.595054,485.981185
5,0.016800,0.059430,0.193456,0.381112,3.511122,58.640089,159.230277,196.274079,489.468481
6,0.016527,0.060412,0.212914,0.386719,3.547709,61.543726,156.959839,192.184503,485.032156
7,0.017625,0.061132,0.210378,0.363458,3.418857,58.945912,151.453446,184.797372,445.481101
8,0.018753,0.061578,0.190637,0.383383,3.165939,55.737798,154.846485,179.444254,457.120855
9,0.015752,0.063376,0.191436,0.361386,3.265882,55.292201,151.061922,187.899255,466.049735
10,0.019356,0.067170,0.204307,0.374771,3.405303,57.809359,152.245270,190.454177,474.362312
Promedio,0.018556,0.063372,0.198812,0.382381,3.337498,57.919647,155.292391,191.675719,477.167033
Speedup (vs secuencial),3.519045,3.475281,2.631341,2.770925,2.876337,4.314136,3.711833,3.699763,3.074572
