N procesos trial wall_s user_s kernel_s cpu_total_s checksum seed
6000 8 1 196.274079 0.000263 0.001250 0.001513 -6828338004005 123456789
6000 16 1 202.952838 0.000512 0.002542 0.003054 -6828338004005 123456789
8000 8 1 489.468481 0.000203 0.000993 0.001196 4274878840897 123456789
8000 16 1 497.494580 0.000604 0.003002 0.003606 4274878840897 123456789
400 8 1 0.016527 0.000218 0.000877 0.001095 828679322912 123456789
400 16 1 0.015662 0.000493 0.001763 0.002256 828679322912 123456789
600 8 1 0.060412 0.000255 0.001013 0.001268 146500783793 123456789
600 16 1 0.063281 0.000613 0.002264 0.002877 146500783793 123456789
800 8 1 0.212914 0.000315 0.001172 0.001487 558985527324 123456789
800 16 1 0.163311 0.000618 0.002687 0.003305 558985527324 123456789
1000 8 1 0.386719 0.000369 0.001317 0.001686 -203584809775 123456789
1000 16 1 0.353600 0.000688 0.002802 0.003490 -203584809775 123456789
2000 8 1 3.547709 0.000363 0.001413 0.001776 -1067493743601 123456789
2000 16 1 3.173438 0.000676 0.003343 0.004019 -1067493743601 123456789
4000 8 1 61.543726 0.000244 0.001251 0.001495 -4380136852933 123456789
4000 16 1 63.792868 0.000604 0.003057 0.003661 -4380136852933 123456789
5500 8 1 156.959839 0.000238 0.001130 0.001368 1977819930506 123456789
5500 16 1 167.402246 0.000587 0.002614 0.003201 1977819930506 123456789
6000 8 1 192.184503 0.000240 0.001136 0.001376 -6828338004005 123456789
6000 16 1 202.230054 0.000512 0.002538 0.003050 -6828338004005 123456789
8000 8 1 485.032156 0.000232 0.001103 0.001335 4274878840897 123456789
8000 16 1 484.616047 0.000579 0.002587 0.003166 4274878840897 123456789
400 8 1 0.017625 0.000248 0.000949 0.001197 828679322912 123456789
400 16 1 0.016878 0.000507 0.001870 0.002377 828679322912 123456789
600 8 1 0.061132 0.000283 0.001334 0.001617 146500783793 123456789
600 16 1 0.067564 0.000633 0.002345 0.002978 146500783793 123456789
800 8 1 0.210378 0.000313 0.001317 0.001630 558985527324 123456789
800 16 1 0.173698 0.000659 0.002686 0.003345 558985527324 123456789
1000 8 1 0.363458 0.000350 0.001329 0.001679 -203584809775 123456789
1000 16 1 0.324632 0.000625 0.002667 0.003292 -203584809775 123456789
2000 8 1 3.418857 0.000403 0.001413 0.001816 -1067493743601 123456789
2000 16 1 3.125803 0.000796 0.003246 0.004042 -1067493743601 123456789
4000 8 1 58.945912 0.000249 0.001196 0.001445 -4380136852933 123456789
4000 16 1 60.573624 0.000516 0.002426 0.002942 -4380136852933 123456789
5500 8 1 151.453446 0.000222 0.001017 0.001239 1977819930506 123456789
5500 16 1 154.041679 0.000523 0.002627 0.003150 1977819930506 123456789
6000 8 1 184.797372 0.000219 0.001026 0.001245 -6828338004005 123456789
6000 16 1 186.250430 0.000537 0.002718 0.003255 -6828338004005 123456789
8000 8 1 445.481101 0.000225 0.001054 0.001279 4274878840897 123456789
8000 16 1 457.338678 0.000545 0.002610 0.003155 4274878840897 123456789
400 8 1 0.018753 0.000235 0.000959 0.001194 828679322912 123456789
400 16 1 0.018324 0.000482 0.001722 0.002204 828679322912 123456789
600 8 1 0.061578 0.000285 0.001223 0.001508 146500783793 123456789
600 16 1 0.063605 0.000606 0.002234 0.002840 146500783793 123456789
800 8 1 0.190637 0.000322 0.001151 0.001473 558985527324 123456789
800 16 1 0.163143 0.000594 0.002534 0.003128 558985527324 123456789
1000 8 1 0.383383 0.000310 0.001365 0.001675 -203584809775 123456789
1000 16 1 0.314534 0.000622 0.002645 0.003267 -203584809775 123456789
2000 8 1 3.165939 0.000299 0.001268 0.001567 -1067493743601 123456789
2000 16 1 2.874548 0.000690 0.003264 0.003954 -1067493743601 123456789
4000 8 1 55.737798 0.000216 0.001046 0.001262 -4380136852933 123456789
4000 16 1 49.199353 0.000539 0.002816 0.003355 -4380136852933 123456789
5500 8 1 154.846485 0.000240 0.001074 0.001314 1977819930506 123456789
5500 16 1 152.948534 0.000539 0.002573 0.003112 1977819930506 123456789
6000 8 1 179.444254 0.000231 0.001088 0.001319 -6828338004005 123456789
6000 16 1 183.943151 0.000539 0.002451 0.002990 -6828338004005 123456789
8000 8 1 457.120855 0.000252 0.001201 0.001453 4274878840897 123456789
8000 16 1 460.035501 0.000490 0.002492 0.002982 4274878840897 123456789
400 8 1 0.015752 0.000221 0.000920 0.001141 828679322912 123456789
