N procesos trial wall_s user_s kernel_s cpu_total_s checksum seed
6000 2 1 384.223078 0.000057 0.000246 0.000303 -6828338004005 123456789
6000 4 1 247.493574 0.000113 0.000493 0.000606 -6828338004005 123456789
8000 2 1 821.429666 0.000057 0.000281 0.000338 4274878840897 123456789
8000 4 1 536.170972 0.000105 0.000463 0.000568 4274878840897 123456789
400 2 1 0.034406 0.000039 0.000182 0.000221 828679322912 123456789
400 4 1 0.020429 0.000083 0.000321 0.000404 828679322912 123456789
600 2 1 0.118871 0.000049 0.000206 0.000255 146500783793 123456789
600 4 1 0.063743 0.000080 0.000322 0.000402 146500783793 123456789
800 2 1 0.285702 0.000050 0.000233 0.000283 558985527324 123456789
800 4 1 0.171835 0.000098 0.000394 0.000492 558985527324 123456789
1000 2 1 0.627268 0.000057 0.000224 0.000281 -203584809775 123456789
1000 4 1 0.458387 0.000140 0.000485 0.000625 -203584809775 123456789
2000 2 1 6.099417 0.000060 0.000265 0.000325 -1067493743601 123456789
2000 4 1 4.228985 0.000148 0.000537 0.000685 -1067493743601 123456789
4000 2 1 128.458145 0.000058 0.000260 0.000318 -4380136852933 123456789
4000 4 1 83.692867 0.000101 0.000454 0.000555 -4380136852933 123456789
5500 2 1 309.687489 0.000054 0.000256 0.000310 1977819930506 123456789
5500 4 1 203.461406 0.000096 0.000417 0.000513 1977819930506 123456789
6000 2 1 384.107632 0.000061 0.000261 0.000322 -6828338004005 123456789
6000 4 1 245.226283 0.000096 0.000432 0.000528 -6828338004005 123456789
8000 2 1 815.027294 0.000062 0.000274 0.000336 4274878840897 123456789
8000 4 1 533.064755 0.000099 0.000458 0.000557 4274878840897 123456789
400 2 1 0.036090 0.000041 0.000188 0.000229 828679322912 123456789
400 4 1 0.019493 0.000081 0.000340 0.000421 828679322912 123456789
600 2 1 0.125758 0.000046 0.000210 0.000256 146500783793 123456789
600 4 1 0.072683 0.000097 0.000394 0.000491 146500783793 123456789
800 2 1 0.329061 0.000057 0.000221 0.000278 558985527324 123456789
800 4 1 0.218872 0.000128 0.000459 0.000587 558985527324 123456789
1000 2 1 0.659229 0.000055 0.000221 0.000276 -203584809775 123456789
1000 4 1 0.457365 0.000147 0.000557 0.000704 -203584809775 123456789
2000 2 1 6.179075 0.000063 0.000255 0.000318 -1067493743601 123456789
2000 4 1 4.145094 0.000144 0.000573 0.000717 -1067493743601 123456789
4000 2 1 128.090520 0.000056 0.000244 0.000300 -4380136852933 123456789
4000 4 1 83.346342 0.000101 0.000454 0.000555 -4380136852933 123456789
5500 2 1 311.866172 0.000057 0.000267 0.000324 1977819930506 123456789
5500 4 1 200.770686 0.000096 0.000448 0.000544 1977819930506 123456789
6000 2 1 378.369188 0.000056 0.000247 0.000303 -6828338004005 123456789
6000 4 1 244.016399 0.000100 0.000448 0.000548 -6828338004005 123456789
8000 2 1 810.596187 0.000059 0.000265 0.000324 4274878840897 123456789
8000 4 1 535.885095 0.000100 0.000436 0.000536 4274878840897 123456789
400 2 1 0.034230 0.000044 0.000174 0.000218 828679322912 123456789
400 4 1 0.020235 0.000079 0.000310 0.000389 828679322912 123456789
600 2 1 0.114969 0.000040 0.000187 0.000227 146500783793 123456789
600 4 1 0.064362 0.000083 0.000341 0.000424 146500783793 123456789
800 2 1 0.279887 0.000049 0.000205 0.000254 558985527324 123456789
800 4 1 0.152162 0.000096 0.000392 0.000488 558985527324 123456789
1000 2 1 0.575515 0.000050 0.000248 0.000298 -203584809775 123456789
1000 4 1 0.322767 0.000095 0.000367 0.000462 -203584809775 123456789
2000 2 1 5.874154 0.000055 0.000247 0.000302 -1067493743601 123456789
2000 4 1 4.116617 0.000137 0.000506 0.000643 -1067493743601 123456789
4000 2 1 128.615564 0.000057 0.000252 0.000309 -4380136852933 123456789
4000 4 1 84.117070 0.000101 0.000451 0.000552 -4380136852933 123456789
5500 2 1 308.648300 0.000055 0.000267 0.000322 1977819930506 123456789
5500 4 1 200.652718 0.000097 0.000435 0.000532 1977819930506 123456789
6000 2 1 381.399097 0.000057 0.000265 0.000322 -6828338004005 123456789
6000 4 1 241.771250 0.000092 0.000430 0.000522 -6828338004005 123456789
8000 2 1 825.841557 0.000058 0.000280 0.000338 4274878840897 123456789
8000 4 1 535.505062 0.000100 0.000448 0.000548 4274878840897 123456789
400 2 1 0.037655 0.000049 0.000187 0.000236 828679322912 123456789
400 4 1 0.019409 0.000086 0.000342 0.000428 828679322912 123456789
600 2 1 0.130556 0.000050 0.000214 0.000264 146500783793 123456789
600 4 1 0.077860 0.000100 0.000371 0.000471 146500783793 123456789
800 2 1 0.338089 0.000062 0.000242 0.000304 558985527324 123456789
