Prueba,400,600,800,1000,2000,4000,5500,6000,8000
Secuencial,0.065300,0.220236,0.523143,1.059550,9.599768,249.873257,576.419466,709.154799,1467.084163
Transpuesta,0.054550,0.183192,0.439184,0.851804,6.810251,54.236139,140.219745,182.351558,435.239553
O3,0.012545,0.039877,0.107548,0.239025,3.554108,140.535610,320.194668,400.758388,912.108914
Hilos 2,0.048780,0.178374,0.404948,0.780743,7.166446,146.208755,340.280566,424.100901,903.847782
Hilos 4,0.026346,0.105280,0.255759,0.550962,4.773808,94.856438,224.469142,280.326742,598.129521
Hilos 8,0.020247,0.073796,0.195643,0.394409,3.401995,60.729078,159.418306,197.070706,484.955710
Hilos 16,0.019752,0.071666,0.175717,0.352097,3.047401,59.792746,166.547332,200.027377,479.588862
Hilos OpenMP 2,0.057290,0.200175,0.478393,0.952105,8.364202,162.369407,373.958180,475.780634,1017.616439
Hilos OpenMP 4,0.029865,0.117834,0.301578,0.613817,5.276503,105.756277,252.651842,314.759404,674.335816
Hilos OpenMP 8,0.022527,0.082549,0.216372,0.443932,3.778011,69.132994,188.551930,227.020138,539.882737
Hilos OpenMP 16,0.020919,0.073192,0.193107,0.380272,3.203302,61.017722,172.613530,204.002380,487.195149
