Funcion,Secuencial,Transpuesta/cache,O3
matmul,73.800000,47.290000,30.620000
process_cpu_seconds,0.000000,0.000000,15.640000
zero_matrix,0.015000,0.016000,14.980000
fill_random_matrices,0.280000,0.274000,0.164000
rand_i32,0.260000,0.106000,0.148000
checksum_matrix,0.006000,0.006000,0.001000
wall_seconds_now,0.000000,0.000000,0.001000
