N threads trial wall_s user_s kernel_s cpu_total_s checksum seed
1000 8 1 0.397018 3.123632 0.004401 3.128033 -203584809775 123456789
1000 16 1 0.355694 3.425809 0.006734 3.432543 -203584809775 123456789
2000 2 1 6.957874 13.907259 0.007812 13.915071 -1067493743601 123456789
2000 4 1 4.727979 18.733979 0.009368 18.743347 -1067493743601 123456789
2000 8 1 3.375338 26.876263 0.016153 26.892416 -1067493743601 123456789
2000 16 1 3.043569 29.801133 0.043867 29.845000 -1067493743601 123456789
4000 2 1 144.710832 289.015213 0.198428 289.213641 -4380136852933 123456789
4000 4 1 94.229757 376.145423 0.211945 376.357368 -4380136852933 123456789
4000 8 1 60.413938 481.164248 0.291075 481.455323 -4380136852933 123456789
4000 16 1 57.743569 572.757915 0.784816 573.542731 -4380136852933 123456789
5500 2 1 329.184270 657.719355 0.496574 658.215929 1977819930506 123456789
5500 4 1 214.009350 852.349024 0.461354 852.810378 1977819930506 123456789
5500 8 1 149.662582 1192.748459 0.804865 1193.553324 1977819930506 123456789
5500 16 1 157.022458 1555.279269 2.742039 1558.021308 1977819930506 123456789
6000 2 1 419.318434 836.042105 0.583019 836.625124 -6828338004005 123456789
6000 4 1 268.691654 1073.199505 0.578939 1073.778444 -6828338004005 123456789
6000 8 1 189.322738 1509.450405 1.037875 1510.488280 -6828338004005 123456789
6000 16 1 187.435459 1855.542026 3.192393 1858.734419 -6828338004005 123456789
8000 2 1 880.053070 1758.087213 1.222004 1759.309217 4274878840897 123456789
8000 4 1 577.590552 2298.883507 1.291270 2300.174777 4274878840897 123456789
8000 8 1 460.593451 3663.523122 3.097680 3666.620802 4274878840897 123456789
8000 16 1 447.411208 4426.806267 7.895945 4434.702212 4274878840897 123456789
400 2 1 0.043113 0.086146 0.000061 0.086207 828679322912 123456789
400 4 1 0.021632 0.086362 0.000084 0.086446 828679322912 123456789
400 8 1 0.019101 0.124766 0.000504 0.125270 828679322912 123456789
400 16 1 0.017149 0.138496 0.000918 0.139414 828679322912 123456789
600 2 1 0.159327 0.317586 0.000571 0.318157 146500783793 123456789
600 4 1 0.094676 0.373462 0.000860 0.374322 146500783793 123456789
600 8 1 0.068627 0.516748 0.000612 0.517360 146500783793 123456789
600 16 1 0.061213 0.570709 0.000952 0.571661 146500783793 123456789
800 2 1 0.383108 0.764940 0.001202 0.766142 558985527324 123456789
800 4 1 0.251910 0.996208 0.001082 0.997290 558985527324 123456789
800 8 1 0.195219 1.458522 0.001589 1.460111 558985527324 123456789
800 16 1 0.168499 1.621532 0.003212 1.624744 558985527324 123456789
1000 2 1 0.769098 1.528077 0.002208 1.530285 -203584809775 123456789
1000 4 1 0.535412 2.123125 0.002846 2.125971 -203584809775 123456789
1000 8 1 0.387476 3.016923 0.003859 3.020782 -203584809775 123456789
1000 16 1 0.342290 3.290212 0.006308 3.296520 -203584809775 123456789
2000 2 1 6.801244 13.594095 0.008096 13.602191 -1067493743601 123456789
2000 4 1 4.619226 18.237832 0.015905 18.253737 -1067493743601 123456789
2000 8 1 3.315640 26.329910 0.015593 26.345503 -1067493743601 123456789
2000 16 1 2.932508 28.909052 0.040477 28.949529 -1067493743601 123456789
4000 2 1 143.039640 285.614608 0.205470 285.820078 -4380136852933 123456789
4000 4 1 91.633351 365.617195 0.199873 365.817068 -4380136852933 123456789
4000 8 1 58.757239 468.596042 0.299249 468.895291 -4380136852933 123456789
4000 16 1 53.906259 534.806660 0.744532 535.551192 -4380136852933 123456789
5500 2 1 325.228648 649.910826 0.513059 650.423885 1977819930506 123456789
5500 4 1 212.535856 848.933971 0.461116 849.395087 1977819930506 123456789
5500 8 1 143.025355 1139.293791 0.710260 1140.004051 1977819930506 123456789
5500 16 1 158.514742 1569.043536 2.735459 1571.778995 1977819930506 123456789
6000 2 1 407.089001 809.923545 0.611688 810.535233 -6828338004005 123456789
6000 4 1 266.191270 1055.872473 0.582019 1056.454492 -6828338004005 123456789
6000 8 1 185.833603 1481.138463 1.036192 1482.174655 -6828338004005 123456789
6000 16 1 185.528109 1835.453119 3.177526 1838.630645 -6828338004005 123456789
8000 2 1 877.904183 1750.155872 1.221655 1751.377527 4274878840897 123456789
8000 4 1 568.483170 2269.954341 1.282515 2271.236856 4274878840897 123456789
8000 8 1 464.519237 3700.508518 3.208936 3703.717454 4274878840897 123456789
8000 16 1 453.445308 4485.387800 8.114729 4493.502529 4274878840897 123456789
400 2 1 0.045117 0.090030 0.000149 0.090179 828679322912 123456789
400 4 1 0.023670 0.094486 0.000117 0.094603 828679322912 123456789
400 8 1 0.020350 0.126665 0.000393 0.127058 828679322912 123456789
400 16 1 0.018586 0.143397 0.000516 0.143913 828679322912 123456789
600 2 1 0.162432 0.324589 0.000253 0.324842 146500783793 123456789
600 4 1 0.096914 0.382090 0.001237 0.383327 146500783793 123456789
600 8 1 0.072490 0.525490 0.000751 0.526241 146500783793 123456789
600 16 1 0.061364 0.570070 0.000880 0.570950 146500783793 123456789
800 2 1 0.389348 0.774487 0.002787 0.777274 558985527324 123456789
800 4 1 0.253803 1.003983 0.000796 1.004779 558985527324 123456789
800 8 1 0.192065 1.470857 0.001816 1.472673 558985527324 123456789
800 16 1 0.174985 1.664108 0.003905 1.668013 558985527324 123456789
1000 2 1 0.751261 1.501384 0.001064 1.502448 -203584809775 123456789
1000 4 1 0.544760 2.163228 0.003469 2.166697 -203584809775 123456789
1000 8 1 0.393392 3.090632 0.004575 3.095207 -203584809775 123456789
1000 16 1 0.358583 3.405312 0.007646 3.412958 -203584809775 123456789
2000 2 1 6.908093 13.807833 0.008086 13.815919 -1067493743601 123456789
2000 4 1 4.682171 18.489411 0.010018 18.499429 -1067493743601 123456789
2000 8 1 3.360959 26.746902 0.017783 26.764685 -1067493743601 123456789
2000 16 1 3.105579 30.316350 0.043204 30.359554 -1067493743601 123456789
4000 2 1 143.580285 286.827878 0.196855 287.024733 -4380136852933 123456789
4000 4 1 94.129078 376.062859 0.208307 376.271166 -4380136852933 123456789
4000 8 1 58.946419 470.063349 0.281894 470.345243 -4380136852933 123456789
4000 16 1 56.390428 558.464302 0.785563 559.249865 -4380136852933 123456789
5500 2 1 332.061334 661.983252 0.470238 662.453490 1977819930506 123456789
5500 4 1 217.767372 869.465872 0.477461 869.943333 1977819930506 123456789
5500 8 1 153.342314 1222.990673 0.834987 1223.825660 1977819930506 123456789
5500 16 1 160.201218 1584.253467 2.792076 1587.045543 1977819930506 123456789
6000 2 1 423.970327 846.171636 0.693698 846.865334 -6828338004005 123456789
6000 4 1 293.461248 1171.018025 0.682162 1171.700187 -6828338004005 123456789
6000 8 1 204.538793 1630.098195 1.276812 1631.375007 -6828338004005 123456789
6000 16 1 212.418435 2094.594275 3.653190 2098.247465 -6828338004005 123456789
8000 2 1 929.497884 1850.865645 1.406722 1852.272367 4274878840897 123456789
8000 4 1 604.325429 2403.470567 1.528539 2404.999106 4274878840897 123456789
8000 8 1 486.797177 3874.149250 3.974041 3878.123291 4274878840897 123456789
8000 16 1 484.596745 4762.697267 9.599964 4772.297231 4274878840897 123456789
400 2 1 0.047503 0.094914 0.000074 0.094988 828679322912 123456789
400 4 1 0.025687 0.102579 0.000087 0.102666 828679322912 123456789
400 8 1 0.021503 0.137428 0.000433 0.137861 828679322912 123456789
400 16 1 0.019874 0.155318 0.000467 0.155785 828679322912 123456789
600 2 1 0.172752 0.345083 0.000368 0.345451 146500783793 123456789
600 4 1 0.103909 0.410932 0.000340 0.411272 146500783793 123456789
600 8 1 0.076128 0.547016 0.000558 0.547574 146500783793 123456789
600 16 1 0.067870 0.617388 0.001156 0.618544 146500783793 123456789
800 2 1 0.403341 0.806038 0.000611 0.806649 558985527324 123456789
800 4 1 0.263765 1.044127 0.000679 1.044806 558985527324 123456789
800 8 1 0.199446 1.553342 0.001623 1.554965 558985527324 123456789
800 16 1 0.185424 1.746296 0.002480 1.748776 558985527324 123456789
1000 2 1 0.777015 1.551658 0.002019 1.553677 -203584809775 123456789
1000 4 1 0.572261 2.267334 0.000879 2.268213 -203584809775 123456789
1000 8 1 0.415986 3.256972 0.003175 3.260147 -203584809775 123456789
1000 16 1 0.375405 3.445367 0.006013 3.451380 -203584809775 123456789
2000 2 1 7.325215 14.640021 0.010113 14.650134 -1067493743601 123456789
2000 4 1 4.933356 19.676911 0.013464 19.690375 -1067493743601 123456789
2000 8 1 3.525414 28.042044 0.023039 28.065083 -1067493743601 123456789
2000 16 1 3.193097 31.321527 0.041095 31.362622 -1067493743601 123456789
4000 2 1 144.007388 287.681031 0.242479 287.923510 -4380136852933 123456789
4000 4 1 96.150332 383.492627 0.241365 383.733992 -4380136852933 123456789
4000 8 1 61.233282 488.037750 0.359350 488.397100 -4380136852933 123456789
4000 16 1 64.686673 639.290673 0.983326 640.273999 -4380136852933 123456789
5500 2 1 336.363592 668.792614 0.540648 669.333262 1977819930506 123456789
5500 4 1 227.998705 910.250049 0.501107 910.751156 1977819930506 123456789
5500 8 1 160.376470 1275.410630 0.989752 1276.400382 1977819930506 123456789
5500 16 1 174.836410 1709.730381 3.709418 1713.439799 1977819930506 123456789
6000 2 1 431.366469 860.061226 0.607449 860.668675 -6828338004005 123456789
6000 4 1 287.684730 1146.180535 0.671206 1146.851741 -6828338004005 123456789
6000 8 1 203.290291 1620.421889 1.199791 1621.621680 -6828338004005 123456789
6000 16 1 206.831006 2049.163225 3.516738 2052.679963 -6828338004005 123456789
8000 2 1 920.656196 1836.747623 1.507270 1838.254893 4274878840897 123456789
8000 4 1 629.071961 2505.868465 1.559391 2507.427856 4274878840897 123456789
8000 8 1 503.288087 4007.001805 4.152660 4011.154465 4274878840897 123456789
8000 16 1 506.441044 4979.465093 9.752267 4989.217360 4274878840897 123456789
400 2 1 0.050566 0.101074 0.000040 0.101114 828679322912 123456789
400 4 1 0.025882 0.102859 0.000245 0.103104 828679322912 123456789
400 8 1 0.019023 0.141821 0.000258 0.142079 828679322912 123456789
400 16 1 0.022437 0.148829 0.000725 0.149554 828679322912 123456789
600 2 1 0.183853 0.367542 0.000137 0.367679 146500783793 123456789
600 4 1 0.109024 0.431666 0.000260 0.431926 146500783793 123456789
600 8 1 0.079407 0.593219 0.001322 0.594541 146500783793 123456789
600 16 1 0.100384 0.649196 0.002577 0.651773 146500783793 123456789
800 2 1 0.436002 0.871313 0.000653 0.871966 558985527324 123456789
800 4 1 0.271455 1.085088 0.000619 1.085707 558985527324 123456789
800 8 1 0.213313 1.644027 0.001776 1.645803 558985527324 123456789
800 16 1 0.192516 1.787382 0.003176 1.790558 558985527324 123456789
1000 2 1 0.812383 1.619130 0.003177 1.622307 -203584809775 123456789
1000 4 1 0.607024 2.370896 0.001088 2.371984 -203584809775 123456789
1000 8 1 0.423997 3.352911 0.003045 3.355956 -203584809775 123456789
1000 16 1 0.380129 3.645209 0.005581 3.650790 -203584809775 123456789
2000 2 1 7.622461 15.217937 0.020057 15.237994 -1067493743601 123456789
2000 4 1 5.140279 20.536784 0.013589 20.550373 -1067493743601 123456789
2000 8 1 3.614236 28.705478 0.023239 28.728717 -1067493743601 123456789
2000 16 1 3.234984 31.976313 0.043941 32.020254 -1067493743601 123456789
4000 2 1 151.576853 302.735239 0.249997 302.985236 -4380136852933 123456789
4000 4 1 98.909956 394.979931 0.241147 395.221078 -4380136852933 123456789
4000 8 1 63.678224 507.250215 0.386211 507.636426 -4380136852933 123456789
4000 16 1 58.140752 574.210913 0.926898 575.137811 -4380136852933 123456789
5500 2 1 338.340017 675.753083 0.555613 676.308696 1977819930506 123456789
5500 4 1 226.416810 904.459545 0.554108 905.013653 1977819930506 123456789
5500 8 1 164.816454 1312.184901 1.142210 1313.327111 1977819930506 123456789
5500 16 1 175.240021 1726.370862 3.281498 1729.652360 1977819930506 123456789
6000 2 1 428.802083 855.333023 0.680971 856.013994 -6828338004005 123456789
6000 4 1 286.138172 1139.937555 0.693989 1140.631544 -6828338004005 123456789
6000 8 1 201.154904 1604.284745 1.352291 1605.637036 -6828338004005 123456789
6000 16 1 205.241701 2024.728125 3.741492 2028.469617 -6828338004005 123456789
8000 2 1 921.486109 1840.302094 1.537097 1841.839191 4274878840897 123456789
8000 4 1 628.020783 2502.955980 1.582961 2504.538941 4274878840897 123456789
8000 8 1 512.111913 4071.312127 4.141307 4075.453434 4274878840897 123456789
8000 16 1 509.321389 4990.735814 9.672886 5000.408700 4274878840897 123456789
400 2 1 0.054669 0.109155 0.000163 0.109318 828679322912 123456789
400 4 1 0.029964 0.118124 0.000235 0.118359 828679322912 123456789
400 8 1 0.023631 0.158087 0.000285 0.158372 828679322912 123456789
400 16 1 0.022978 0.158399 0.001016 0.159415 828679322912 123456789
600 2 1 0.200557 0.400464 0.000570 0.401034 146500783793 123456789
600 4 1 0.127104 0.470794 0.001580 0.472374 146500783793 123456789
600 8 1 0.086260 0.599543 0.001257 0.600800 146500783793 123456789
600 16 1 0.080872 0.658508 0.001470 0.659978 146500783793 123456789
800 2 1 0.436064 0.871345 0.000741 0.872086 558985527324 123456789
800 4 1 0.273732 1.094081 0.000720 1.094801 558985527324 123456789
800 8 1 0.212235 1.663185 0.001900 1.665085 558985527324 123456789
800 16 1 0.188406 1.792767 0.003108 1.795875 558985527324 123456789
1000 2 1 0.825826 1.623703 0.001006 1.624709 -203584809775 123456789
1000 4 1 0.591518 2.344742 0.001529 2.346271 -203584809775 123456789
1000 8 1 0.422280 3.306523 0.003238 3.309761 -203584809775 123456789
1000 16 1 0.381087 3.661695 0.005572 3.667267 -203584809775 123456789
2000 2 1 7.632358 15.254532 0.009829 15.264361 -1067493743601 123456789
2000 4 1 5.174339 20.633881 0.013192 20.647073 -1067493743601 123456789
2000 8 1 3.650287 29.062918 0.022888 29.085806 -1067493743601 123456789
2000 16 1 3.263375 32.048426 0.046811 32.095237 -1067493743601 123456789
4000 2 1 150.720748 301.109590 0.256990 301.366580 -4380136852933 123456789
4000 4 1 99.687916 397.840089 0.246805 398.086894 -4380136852933 123456789
4000 8 1 63.076913 502.497352 0.367722 502.865074 -4380136852933 123456789
4000 16 1 67.763507 668.027161 0.988725 669.015886 -4380136852933 123456789
5500 2 1 341.682086 682.971616 0.119147 683.090763 1977819930506 123456789
5500 4 1 225.113172 897.316355 0.599579 897.915934 1977819930506 123456789
5500 8 1 157.347900 1254.149055 0.877510 1255.026565 1977819930506 123456789
5500 16 1 163.186080 1615.303553 2.866735 1618.170288 1977819930506 123456789
6000 2 1 421.804464 841.456485 0.627312 842.083797 -6828338004005 123456789
6000 4 1 276.495104 1102.074454 0.732880 1102.807334 -6828338004005 123456789
6000 8 1 190.267222 1517.749102 1.037475 1518.786577 -6828338004005 123456789
6000 16 1 193.049578 1911.600657 3.320090 1914.920747 -6828338004005 123456789
8000 2 1 895.488286 1788.967483 1.263416 1790.230899 4274878840897 123456789
8000 4 1 600.525201 2393.318133 1.456109 2394.774242 4274878840897 123456789
8000 8 1 475.548806 3787.304431 3.257131 3790.561562 4274878840897 123456789
8000 16 1 465.644292 4607.871255 8.299442 4616.170697 4274878840897 123456789
400 2 1 0.044920 0.089728 0.000092 0.089820 828679322912 123456789
400 4 1 0.023604 0.094255 0.000084 0.094339 828679322912 123456789
400 8 1 0.020432 0.129977 0.000699 0.130676 828679322912 123456789
400 16 1 0.022042 0.149339 0.001147 0.150486 828679322912 123456789
600 2 1 0.173481 0.345813 0.000712 0.346525 146500783793 123456789
600 4 1 0.102050 0.397301 0.000774 0.398075 146500783793 123456789
600 8 1 0.070793 0.543860 0.000609 0.544469 146500783793 123456789
600 16 1 0.077004 0.607661 0.002410 0.610071 146500783793 123456789
800 2 1 0.406773 0.812039 0.001435 0.813474 558985527324 123456789
800 4 1 0.261049 1.033045 0.000746 1.033791 558985527324 123456789
800 8 1 0.194519 1.517805 0.001626 1.519431 558985527324 123456789
800 16 1 0.182929 1.725095 0.004000 1.729095 558985527324 123456789
1000 2 1 0.788603 1.573442 0.001623 1.575065 -203584809775 123456789
1000 4 1 0.569978 2.258647 0.002761 2.261408 -203584809775 123456789
1000 8 1 0.409305 3.200850 0.004799 3.205649 -203584809775 123456789
1000 16 1 0.360958 3.459745 0.006283 3.466028 -203584809775 123456789
2000 2 1 7.107744 14.207403 0.007828 14.215231 -1067493743601 123456789
2000 4 1 4.928405 19.387951 0.009849 19.397800 -1067493743601 123456789
2000 8 1 3.433186 27.351547 0.015665 27.367212 -1067493743601 123456789
2000 16 1 3.059293 30.207524 0.039321 30.246845 -1067493743601 123456789
4000 2 1 143.475426 286.668522 0.202052 286.870574 -4380136852933 123456789
4000 4 1 95.141687 379.986351 0.217959 380.204310 -4380136852933 123456789
4000 8 1 59.373886 473.311615 0.281449 473.593064 -4380136852933 123456789
4000 16 1 56.029041 554.842622 0.788013 555.630635 -4380136852933 123456789
5500 2 1 337.332865 671.562742 0.519635 672.082377 1977819930506 123456789
5500 4 1 224.424885 895.411209 0.539359 895.950568 1977819930506 123456789
5500 8 1 165.251383 1315.402735 1.009004 1316.411739 1977819930506 123456789
5500 16 1 166.790661 1650.798993 2.909447 1653.708440 1977819930506 123456789
6000 2 1 432.325952 862.826741 0.763751 863.590492 -6828338004005 123456789
6000 4 1 287.715770 1147.019774 0.634300 1147.654074 -6828338004005 123456789
6000 8 1 205.816593 1639.250072 1.240855 1640.490927 -6828338004005 123456789
6000 16 1 205.815245 2028.722207 3.769133 2032.491340 -6828338004005 123456789
8000 2 1 918.003812 1833.733294 1.515615 1835.248909 4274878840897 123456789
8000 4 1 619.566896 2468.443041 1.708891 2470.151932 4274878840897 123456789
8000 8 1 515.696858 4099.334428 5.307478 4104.641906 4274878840897 123456789
8000 16 1 498.789564 4909.716742 10.124752 4919.841494 4274878840897 123456789
400 2 1 0.054600 0.109028 0.000153 0.109181 828679322912 123456789
400 4 1 0.035305 0.131134 0.000417 0.131551 828679322912 123456789
400 8 1 0.020416 0.150804 0.000319 0.151123 828679322912 123456789
400 16 1 0.020795 0.166731 0.000623 0.167354 828679322912 123456789
600 2 1 0.190701 0.374838 0.003212 0.378050 146500783793 123456789
600 4 1 0.130465 0.465298 0.001452 0.466750 146500783793 123456789
600 8 1 0.077854 0.585988 0.001516 0.587504 146500783793 123456789
600 16 1 0.072768 0.635123 0.001356 0.636479 146500783793 123456789
800 2 1 0.423642 0.846551 0.000696 0.847247 558985527324 123456789
800 4 1 0.264458 1.046863 0.000663 1.047526 558985527324 123456789
800 8 1 0.212253 1.646551 0.001671 1.648222 558985527324 123456789
800 16 1 0.182426 1.749628 0.002705 1.752333 558985527324 123456789
1000 2 1 0.808731 1.616389 0.000719 1.617108 -203584809775 123456789
1000 4 1 0.589142 2.334263 0.001490 2.335753 -203584809775 123456789
1000 8 1 0.417465 3.301204 0.003016 3.304220 -203584809775 123456789
1000 16 1 0.369365 3.582997 0.005120 3.588117 -203584809775 123456789
2000 2 1 7.765057 15.387459 0.014054 15.401513 -1067493743601 123456789
2000 4 1 5.054616 20.206647 0.011581 20.218228 -1067493743601 123456789
2000 8 1 3.578184 28.424920 0.025459 28.450379 -1067493743601 123456789
2000 16 1 3.225529 31.696625 0.040063 31.736688 -1067493743601 123456789
4000 2 1 148.470034 296.710171 0.218654 296.928825 -4380136852933 123456789
4000 4 1 97.540055 388.874265 0.229156 389.103421 -4380136852933 123456789
4000 8 1 64.047373 509.658452 0.359451 510.017903 -4380136852933 123456789
4000 16 1 58.096258 574.164700 0.832411 574.997111 -4380136852933 123456789
5500 2 1 335.820127 669.043282 0.464910 669.508192 1977819930506 123456789
5500 4 1 224.443562 896.389949 0.499870 896.889819 1977819930506 123456789
5500 8 1 160.493671 1277.796337 1.366150 1279.162487 1977819930506 123456789
5500 16 1 167.697298 1657.818179 2.924264 1660.742443 1977819930506 123456789
6000 2 1 424.016783 845.845013 0.588758 846.433771 -6828338004005 123456789
6000 4 1 278.587896 1111.872484 0.610709 1112.483193 -6828338004005 123456789
6000 8 1 192.759208 1535.764400 1.102219 1536.866619 -6828338004005 123456789
6000 16 1 200.601225 1967.129347 3.948147 1971.077494 -6828338004005 123456789
8000 2 1 894.778564 1786.228891 1.530117 1787.759008 4274878840897 123456789
8000 4 1 600.918824 2394.695355 1.527630 2396.222985 4274878840897 123456789
8000 8 1 479.622062 3821.573812 3.928918 3825.502730 4274878840897 123456789
8000 16 1 484.950421 4783.211427 9.452064 4792.663491 4274878840897 123456789
