Ronda,400,600,800,1000,2000,4000,5500,6000,8000
1,0.014350,0.048456,0.113008,0.223302,2.196979,60.116548,177.540601,206.697634,488.420582
2,0.022796,0.081230,0.185551,0.374159,3.219099,65.054428,164.443829,196.655373,456.868065
3,0.016509,0.065497,0.183431,0.355694,3.043569,57.743569,157.022458,187.435459,447.411208
4,0.017149,0.061213,0.168499,0.342290,2.932508,53.906259,158.514742,185.528109,453.445308
5,0.018586,0.061364,0.174985,0.358583,3.105579,56.390428,160.201218,212.418435,484.596745
6,0.019874,0.067870,0.185424,0.375405,3.193097,64.686673,174.836410,206.831006,506.441044
7,0.022437,0.100384,0.192516,0.380129,3.234984,58.140752,175.240021,205.241701,509.321389
8,0.022978,0.080872,0.188406,0.381087,3.263375,67.763507,163.186080,193.049578,465.644292
9,0.022042,0.077004,0.182929,0.360958,3.059293,56.029041,166.790661,205.815245,498.789564
10,0.020795,0.072768,0.182426,0.369365,3.225529,58.096258,167.697298,200.601225,484.950421
Promedio,0.019752,0.071666,0.175717,0.352097,3.047401,59.792746,166.547332,200.027377,479.588862
Speedup (vs secuencial),3.306066,3.073100,2.977180,3.009254,3.150149,4.178989,3.460995,3.545289,3.059046
